rank,category,model_name,filename_tag,important_params,oof_rmse_cv5_rs42,oof_file,storage,shared_index_file,prediction_shard_file,prediction_dtype,sample_count
1,advanced_more_tuned,MLPRegressor Tuned Stable,mlp_h256x128_relu_bs256_lr0p001_a1em04_mi320,h256x128_relu_bs256_lr0p001_alpha1e-4_iter320_seed123,125.541328,outputs/forward_selection_oof/models/01_mlp_h256x128_relu_bs256_lr0p001_a1em04_mi320__h256x128_relu_bs256_lr0p001_alpha1e-4_iter320_seed123__rmse125.5413.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/01_mlp_h256x128_relu_bs256_lr0p001_a1em04_mi320__h256x128_relu_bs256_lr0p001_alpha1e-4_iter320_seed123__rmse125.5413.npz,float32,40000
2,advanced_more,MLPRegressor Deep,mlp_256_128_64,h256x128x64_relu_bs256_lr0p001_alpha1e-4_iter300_seed42,127.888339,outputs/forward_selection_oof/models/02_mlp_256_128_64__h256x128x64_relu_bs256_lr0p001_alpha1e-4_iter300_seed42__rmse127.8883.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/02_mlp_256_128_64__h256x128x64_relu_bs256_lr0p001_alpha1e-4_iter300_seed42__rmse127.8883.npz,float32,40000
3,advanced_more,CatBoostRegressor,catboost_depth8,depth8_lr0p03_iter4000_seed42,138.807642,outputs/forward_selection_oof/models/03_catboost_depth8__depth8_lr0p03_iter4000_seed42__rmse138.8076.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/03_catboost_depth8__depth8_lr0p03_iter4000_seed42__rmse138.8076.npz,float32,40000
4,advanced_more,StackingRegressor,stack_ridge_extra_hist,meta_ridge0p5_base_ridge_extra250_hist700,161.261207,outputs/forward_selection_oof/models/04_stack_ridge_extra_hist__meta_ridge0p5_base_ridge_extra250_hist700__rmse161.2612.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/04_stack_ridge_extra_hist__meta_ridge0p5_base_ridge_extra250_hist700__rmse161.2612.npz,float32,40000
5,advanced,Weighted Blend,blend_hgb50_et50,hgb500d6_w0p50_plus_et400_w0p50,163.533421,outputs/forward_selection_oof/models/05_blend_hgb50_et50__hgb500d6_w0p50_plus_et400_w0p50__rmse163.5334.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/05_blend_hgb50_et50__hgb500d6_w0p50_plus_et400_w0p50__rmse163.5334.npz,float32,40000
6,advanced,HistGradientBoosting Wide,hist_gb_700_d8,lr0p03_depth8_iter700_l20p5,165.38253,outputs/forward_selection_oof/models/06_hist_gb_700_d8__lr0p03_depth8_iter700_l20p5__rmse165.3825.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/06_hist_gb_700_d8__lr0p03_depth8_iter700_l20p5__rmse165.3825.npz,float32,40000
7,advanced,HistGradientBoosting Tuned,hist_gb_500_d6,lr0p05_depth6_iter500_l21p0,167.528173,outputs/forward_selection_oof/models/07_hist_gb_500_d6__lr0p05_depth6_iter500_l21p0__rmse167.5282.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/07_hist_gb_500_d6__lr0p05_depth6_iter500_l21p0__rmse167.5282.npz,float32,40000
8,advanced,ExtraTrees Tuned,extra_trees_400,n400_leaf2_seed42,168.640903,outputs/forward_selection_oof/models/08_extra_trees_400__n400_leaf2_seed42__rmse168.6409.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/08_extra_trees_400__n400_leaf2_seed42__rmse168.6409.npz,float32,40000
9,basic,ExtraTrees,extra_trees_200,n200_leaf2_seed42,168.800608,outputs/forward_selection_oof/models/09_extra_trees_200__n200_leaf2_seed42__rmse168.8006.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/09_extra_trees_200__n200_leaf2_seed42__rmse168.8006.npz,float32,40000
10,basic,HistGradientBoosting,hist_gb_300,lr0p05_depth6_iter300_l21p0,167.946272,outputs/forward_selection_oof/models/10_hist_gb_300__lr0p05_depth6_iter300_l21p0__rmse167.9463.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/10_hist_gb_300__lr0p05_depth6_iter300_l21p0__rmse167.9463.npz,float32,40000
11,basic,RandomForest,random_forest_160,n160_leaf2_seed42,176.370571,outputs/forward_selection_oof/models/11_random_forest_160__n160_leaf2_seed42__rmse176.3706.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/11_random_forest_160__n160_leaf2_seed42__rmse176.3706.npz,float32,40000
12,basic_linear,Lasso Regression,lasso_linear,alpha0p0005_iter5000_seed42,218.64967,outputs/forward_selection_oof/models/12_lasso_linear__alpha0p0005_iter5000_seed42__rmse218.6497.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/12_lasso_linear__alpha0p0005_iter5000_seed42__rmse218.6497.npz,float32,40000
13,basic,Ridge + OneHot,ridge_ohe,alpha1p0,218.660075,outputs/forward_selection_oof/models/13_ridge_ohe__alpha1p0__rmse218.6601.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/13_ridge_ohe__alpha1p0__rmse218.6601.npz,float32,40000
14,basic_linear,Ridge Regression,ridge_linear,alpha1p0,218.660075,outputs/forward_selection_oof/models/14_ridge_linear__alpha1p0__rmse218.6601.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/14_ridge_linear__alpha1p0__rmse218.6601.npz,float32,40000
15,basic_linear,ElasticNet Regression,elasticnet_linear,alpha0p0005_l1r0p2_iter5000_seed42,218.789277,outputs/forward_selection_oof/models/15_elasticnet_linear__alpha0p0005_l1r0p2_iter5000_seed42__rmse218.7893.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/15_elasticnet_linear__alpha0p0005_l1r0p2_iter5000_seed42__rmse218.7893.npz,float32,40000
16,basic_linear,OLS Linear Regression,ols_linear,plain_ols,218.649315,outputs/forward_selection_oof/models/16_ols_linear__plain_ols__rmse218.6493.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/16_ols_linear__plain_ols__rmse218.6493.npz,float32,40000
17,advanced_more,TabNet,tabnet_base,nd8_na8_steps3_gamma1p1_lr1em02_ep20_pat5_seed123,231.1248056381011,,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/17_tabnet_base__nd8_na8_steps3_gamma1p1_lr1em02_ep20_pat5_seed123__rmse231.1248.npz,float32,40000
18,extra_oof,CatBoost Pro (Extra OOF),extra_catboost_pro,source_catboost_pro_reported_157p2800,157.27783189709223,anotherOOPoutput/OOF_CatBoost_Pro_RMSE157.2800.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/18_extra_catboost_pro__source_catboost_pro_reported_157p2800__rmse157.2778.npz,float32,40000
19,extra_oof,FTTransformer V2 (Extra OOF),extra_fttransformer_v2,source_fttransformer_v2_reported_133p1912,133.19118073280978,anotherOOPoutput/OOF_FTTransformer_V2_RMSE133.1912.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/19_extra_fttransformer_v2__source_fttransformer_v2_reported_133p1912__rmse133.1912.npz,float32,40000
20,extra_oof,MLP Stable V2 (Extra OOF),extra_mlp_stable_v2,source_mlp_stablev2_reported_125p6784,125.67837796335532,anotherOOPoutput/OOF_MLP_StableV2_RMSE125.6784.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/20_extra_mlp_stable_v2__source_mlp_stablev2_reported_125p6784__rmse125.6784.npz,float32,40000
21,extra_oof,TabM Baseline (Extra OOF),extra_tabm_baseline,source_tabm_baseline_reported_131p4686,131.4686125801516,anotherOOPoutput/OOF_TabM_Baseline_RMSE131.4686.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/21_extra_tabm_baseline__source_tabm_baseline_reported_131p4686__rmse131.4686.npz,float32,40000
22,extra_oof,TabNet Pro (Extra OOF),extra_tabnet_pro,source_tabnet_pro_reported_124p6600,124.6576875387154,anotherOOPoutput/OOF_TabNet_Pro_RMSE124.6600.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/22_extra_tabnet_pro__source_tabnet_pro_reported_124p6600__rmse124.6577.npz,float32,40000
23,extra_oof,TabNet Stable V2 (Extra OOF),extra_tabnet_stable_v2,source_tabnet_stablev2_reported_124p9266,124.92662299451028,anotherOOPoutput/OOF_TabNet_StableV2_RMSE124.9266.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/23_extra_tabnet_stable_v2__source_tabnet_stablev2_reported_124p9266__rmse124.9266.npz,float32,40000
24,extra_oof,TabPFN (Extra OOF),extra_tabpfn,source_tabpfn_reported_128p7900,128.78632679267625,anotherOOPoutput/OOF_TabPFN_RMSE128.7900.csv,npz_compressed,outputs/forward_selection_oof/shared/index_arrays.npz,outputs/forward_selection_oof/shards/24_extra_tabpfn__source_tabpfn_reported_128p7900__rmse128.7863.npz,float32,40000
